OCCURRED_AT,ROW_TYPE,PRODUCT_ID,PROCESS_ID,RECIPE_ID,ACTION,STATE,RESULT,DETAIL,HEAD_NO,HEAD_STATE,TOTAL_POINTS,COMPLETED_POINTS,HEAD_RESULT,ERROR_CODE,MESSAGE,HEAD_STARTED_AT,HEAD_COMPLETED_AT
2026-07-23T08:37:59.0039077+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723083758,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-23T18:00:05.0165516+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723180004,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-23T18:03:04.6319731+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723180304,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-23T18:03:04.6822916+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723180304,DRILL_A01,ERROR,ERROR,NG,"Process device is offline: TalonLaser, Melsec",,,,,,,,,
2026-07-23T18:12:50.1612417+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723181250,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-23T18:15:40.6601241+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723181540,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-23T18:15:40.6931957+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723181540,DRILL_A01,ERROR,ERROR,NG,"Process device is offline: TalonLaser, Melsec",,,,,,,,,
2026-07-23T18:15:43.7199197+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723181540,DRILL_A01,STOP,STOPPED,NG,Station PROCESS stopped by operator.,,,,,,,,,
2026-07-23T18:15:44.5004605+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723181544,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
2026-07-23T18:15:44.5397250+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723181544,DRILL_A01,ERROR,ERROR,NG,"Process device is offline: TalonLaser, Melsec",,,,,,,,,
2026-07-23T18:15:46.1207613+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723181544,DRILL_A01,STOP,STOPPED,NG,Station PROCESS stopped by operator.,,,,,,,,,
2026-07-23T19:00:05.1723992+09:00,EVENT,SIM-PRODUCT-001,SCAN-20260723190005,DRILL_A01,CREATE,CREATED,PENDING,Product created.,,,,,,,,,
